encuest	th	sexo	edad	carnet	carnetanyos	conducebicicleta	conducemoto	conducevehiculoligero	conducecamion	kmturismo	acturismonum	opinionlimites	conductavelocidad	conductaalcohol	conductamovil	conductacinturon	opinionradares	acturismo	sancion	carnetpuntosperdidos	sancion_velocidad
111	Bizkaia	Hombre	30	1	8	0	0	0	0	100	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que colocar mas	0	1	1	1
112	Gipuzkoa	Mujer	23	1	5	0	0	0	0	20	2	Estan ok	Alguna vez	Nunca	Nunca	Siempre	No debe haber ninguno	1	0	0	0
113	Araba	Hombre	45	1	27	0	0	0	0	150	4	Muy bajos	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
114	Araba	Hombre	63	1	40	1	0	0	0	30	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Estan ok	0	1	0	1
115	Bizkaia	Hombre	39	1	18	0	0	1	0	220	0	Estan ok	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	0	1	0	1
116	Araba	Hombre	50	1	32	0	0	0	0	3	2	Estan ok	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
117	Bizkaia	Hombre	41	1	19	0	0	0	0	75	0	Muy bajos	Alguna vez	A veces	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
118	Bizkaia	Hombre	45	1	25	0	0	0	0	100	5	Estan ok	Nunca	Nunca	A veces	Siempre	Hay que colocar mas	1	1	0	1
119	Bizkaia	Hombre	40	1	21	1	0	0	1	1500	1	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	1	0	0	0
120	Gipuzkoa	Hombre	23	1	5	0	1	0	0	10	0	Muy bajos	Alguna vez	Nunca	Nunca	Siempre	Hay que cambiarlos de sitio	0	0	0	0
121	Gipuzkoa	Mujer	84	1	24	0	0	0	0	1	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
122	Araba	Mujer	23	1	4	1	0	0	0	20	0	Estan ok	Nunca	Nunca	Nunca	Siempre	Hay demasiados	0	0	0	0
123	Gipuzkoa	Hombre	45	1	27	0	0	1	0	40	0	Estan ok	Nunca	Nunca	A veces	Siempre	Hay que cambiarlos de sitio	0	0	0	0
124	Gipuzkoa	Mujer	35	1	15	0	0	0	0	70	1	Estan ok	Nunca	Nunca	A veces	Siempre	Estan ok	1	0	0	0
125	Araba	Hombre	56	1	34	1	1	0	0	15	0	Muy bajos	Alguna vez	A veces	Nunca	Siempre	Hay demasiados	0	1	0	0
